
 Array R_I
 ---------
  206 -  210:      2.0835747910912D-02     2.0840185366663D-02     2.0844768387952D-02     2.0849496982056D-02     2.0854371156489D-02
  211 -  215:      2.0859390918993D-02     2.0864556277544D-02     2.0869867240349D-02     2.0875323815847D-02     2.0880926012710D-02
  216 -  220:      2.0886673839840D-02     2.0892567306374D-02     2.0898606421680D-02     2.0904791195356D-02     2.0911121637237D-02
  221 -  225:      2.0917597757388D-02     2.0924219566105D-02     2.0930987073920D-02     2.0937900291595D-02     2.0944959230127D-02
  226 -  230:      2.0952163900745D-02     2.0959514314909D-02     2.0967010484317D-02     2.0974652420894D-02     2.0982440136804D-02
  231 -  235:      2.0990373644441D-02     2.0998452956433D-02     2.1006678085642D-02     2.1015049045165D-02     2.1023565848329D-02
  236 -  240:      2.1032228508700D-02     2.1041037040073D-02     2.1049991456481D-02     2.1059091772189D-02     2.1068338001697D-02
  241 -  245:      2.1077730159740D-02     2.1087268261287D-02     2.1096952321541D-02     2.1106782355942D-02     2.1116758380162D-02
  246 -  250:      2.1126880410111D-02     2.1137148461932D-02     2.1147562552004D-02     2.1158122696941D-02     2.1168828913595D-02
  251 -  255:      2.1179681219051D-02     2.1190679630630D-02     2.1201824165891D-02     2.1213114842627D-02     2.1224551678869D-02
  256 -  260:      2.1236134692883D-02     2.1247863903171D-02     2.1259739328476D-02     2.1271760987772D-02     2.1283928900274D-02
  261 -  265:      2.1296243085432D-02     2.1308703562936D-02     2.1321310352710D-02     2.1334063474919D-02     2.1347587369401D-02
  266 -  270:      2.1360527439259D-02     2.1373425660562D-02     2.1386282034997D-02     2.1399096564246D-02     2.1411869249985D-02
  271 -  275:      2.1424600093884D-02     2.1437289097609D-02     2.1449936262817D-02     2.1462541591163D-02     2.1475105084295D-02
  276 -  280:      2.1487626743856D-02     2.1500106571483D-02     2.1512544568806D-02     2.1524940737453D-02     2.1537295079043D-02
  281 -  285:      2.1549607595192D-02     2.1561878287508D-02     2.1574107157595D-02     2.1586294207052D-02     2.1598439437471D-02
  286 -  290:      2.1610542850439D-02     2.1622604447538D-02     2.1634624230343D-02     2.1646602200426D-02     2.1658538359351D-02
  291 -  295:      2.1670432708677D-02     2.1682285249958D-02     2.1694095984743D-02     2.1705864914574D-02     2.1717592040989D-02
  296 -  300:      2.1729277365519D-02     2.1740920889691D-02     2.1752522615024D-02     2.1764082543035D-02     2.1775600675232D-02
  301 -  305:      2.1787077013120D-02     2.1798511558197D-02     2.1809904311956D-02     2.1821255275885D-02     2.1832564451465D-02
  306 -  310:      2.1843831840173D-02     2.1855057443480D-02     2.1866241262851D-02     2.1877383299746D-02     2.1888483555619D-02
  311 -  315:      2.1899542031919D-02     2.1910558730089D-02     2.1921533651568D-02     2.1932466797786D-02     2.1943358170172D-02
  316 -  320:      2.1954207770145D-02     2.1965015599122D-02     2.1975781658514D-02     2.1986505949723D-02     2.1997188474151D-02
  321 -  325:      2.2007829233190D-02     2.2018428228228D-02     2.2028985460648D-02     2.2039500931828D-02     2.2049974643138D-02
  326 -  330:      2.2060406595945D-02     2.2070796791609D-02     2.2081145231486D-02     2.2091451916925D-02     2.2101716849270D-02
  331 -  335:      2.2111940029860D-02     2.2122121460027D-02     2.2132261141100D-02     2.2142359074400D-02     2.2152415261244D-02
  336 -  340:      2.2162429702943D-02     2.2172402400802D-02     2.2182333356122D-02     2.2192222570197D-02     2.2202070044316D-02
  341 -  345:      2.2211875779764D-02     2.2221639777817D-02     2.2231362039748D-02     2.2241042566826D-02     2.2250681360310D-02
  346 -  350:      2.2260278421458D-02     2.2269833751520D-02     2.2279347351741D-02     2.2288819223361D-02     2.2298249367614D-02
  351 -  355:      2.2307637785729D-02     2.2316984478929D-02     2.2326289448431D-02     2.2335552695448D-02     2.2344774221187D-02
  356 -  360:      2.2353954026849D-02     2.2363092113630D-02     2.2372188482720D-02     2.2381243135303D-02     2.2390256072560D-02
  361 -  365:      2.2399227295665D-02     2.2408156805784D-02     2.2417044604082D-02     2.2425890691717D-02     2.2434695069839D-02
  366 -  370:      2.2443457739595D-02     2.2452178702127D-02     2.2460857958571D-02     2.2469495510055D-02     2.2478091357705D-02
  371 -  375:      2.2486645502640D-02     2.2495157945973D-02     2.2503628688814D-02     2.2512057732264D-02     2.2520445077421D-02
  376 -  380:      2.2528790725376D-02     2.2537094677216D-02     2.2545356934023D-02     2.2553577496870D-02     2.2561756366829D-02
  381 -  385:      2.2569893544964D-02     2.2577989032333D-02     2.2586042829991D-02     2.2594054938985D-02     2.2602025360358D-02
  386 -  390:      2.2609954095147D-02     2.2617841144385D-02     2.2625686509097D-02     2.2633490190304D-02     2.2641252189021D-02
  391 -  395:      2.2648972506258D-02     2.2656651143021D-02     2.2664288100307D-02     2.2671883379110D-02     2.2679436980419D-02
  396 -  400:      2.2686948905216D-02     2.2694419154478D-02     2.2701847729177D-02     2.2709234630279D-02     2.2716579858745D-02
